Location,Latitude,Longitude,Comb
Tuas Amenity Centre Carpark Booth (71 Pioneer Road),1.3170733,103.6520736,"1.3170733,103.6520736"
Level 33 (8 Marina Boulevard),1.2801654,103.8542283,"1.2801654,103.8542283"
Tiong Bahru Plaza (298 Tiong Bahru Road),1.2864244,103.827346,"1.2864244,103.827346"
United Square Shopping Mall (101 Thomson Road),1.3171849,103.8436045,"1.3171849,103.8436045"
Food Hub (455 Sengkang West Avenue),1.3913936,103.8709559,"1.3913936,103.8709559"
Atatzcut Singapore (348 Bedok Road),1.3315298,103.9480632,"1.3315298,103.9480632"
Tuas Amenity Centre (71 Pioneer Road),1.3170733,103.6520736,"1.3170733,103.6520736"
Health Management Centre (809 French Road),1.3084036,103.8622518,"1.3084036,103.8622518"
Chop Joo Hiong Eating House (237 Serangoon Avenue 3),1.3543078,103.8701327,"1.3543078,103.8701327"
Yuhua Village Market And Food Centre (254 Jurong East Street 24),1.3437065,103.7378006,"1.3437065,103.7378006"
Gp Motoring (282 Macpherson Road),1.3304648,103.8771012,"1.3304648,103.8771012"
Sheng Shiong Supermarket (417 Fernvale Link),1.3916216,103.8795347,"1.3916216,103.8795347"
Ntuc Fairprice (50 Havelock Road),1.2898284,103.8267171,"1.2898284,103.8267171"
Ion Orchard (2 Orchard Turn),1.3039288,103.8319512,"1.3039288,103.8319512"
Ntuc Foodfare (308 Anchorvale Road),1.389254,103.8864458,"1.389254,103.8864458"
Sri Murugan Trading Pte Ltd (308 Anchorvale Road),1.3894651,103.8866808,"1.3894651,103.8866808"
Giant (256 Bangkit Road),1.3787569,103.7728751,"1.3787569,103.7728751"
Mcdonald'S (293 Yishun Street 22),1.4363967,103.8379745,"1.4363967,103.8379745"
New Trendy Salon Llp (84 Redhill Lane),1.2872357,103.8187554,"1.2872357,103.8187554"
Marsiling Lane Food Centre (20 Marsiling Lane),1.4434601,103.7768783,"1.4434601,103.7768783"
Yuhua Village Market And Food Centre (254 Jurong East Street 24),1.3437065,103.7378006,"1.3437065,103.7378006"
Ntuc Fairprice (301 Yishun Avenue 2),1.429387,103.8350907,"1.429387,103.8350907"
Vivocity (1 Harbourfront Walk),1.264585545,103.8223037,"1.2645855448709473, 103.82230365697876"
People Park'S Centre (101 Upper Cross Street),1.285631,103.8440929,"1.285631,103.8440929"
Tiong Bahru Plaza (298 Tiong Bahru Road),1.2864244,103.827346,"1.2864244,103.827346"
Decathlon - Singapore Lab (230 Stadium Boulevard),1.3042526,103.8823882,"1.3042526,103.8823882"
One Commonwealth (1 Commonwealth Lane),1.3044303,103.7967449,"1.3044303,103.7967449"
Beauty World Centre (144 Upper Bukit Timah Road),1.342311,103.7763425,"1.342311,103.7763425"
Tradehub 21 (18 Boon Lay Way),1.328382,103.752966,"1.328382,103.752966"
"Al Barakah Health And Beauty Mart (302 Woodlands Street 
 31)",1.431797,103.7744033,"1.431797,103.7744033"
Greenridge Shopping Centre (524A Jelapang Road),1.3854081,103.7663598,"1.3854081,103.7663598"
Food Hub (455 Sengkang West Avenue),1.3913936,103.8709559,"1.3913936,103.8709559"
Sheng Shiong Supermarket (108 Mcnair Road),1.321577,103.8595811,"1.321577,103.8595811"
Sheng Shiong Supermarket (455 Sengkang West Avenue),1.3920676,103.8712243,"1.3920676,103.8712243"
D'Foodstop@Abc (2 Jalan Bukit Merah),1.2867624,103.8073683,"1.2867624,103.8073683"
Ramada (16 Ah Hood Road),1.3270456,103.8465073,"1.3270456,103.8465073"
Ntuc Fairprice (30 Bendemeer Road),1.3191521,103.8638586,"1.3191521,103.8638586"
Ntuc Fairprice (301 Yishun Avenue 2),1.429387,103.8350907,"1.429387,103.8350907"
Fajar Shopping Centre (445 Fajar Road),1.3838672,103.7705214,"1.3838672,103.7705214"
Causeway Point (1 Woodlands Square),1.4360933,103.7859471,"1.4360933,103.7859471"
Yew Tee Community Club (20 Choa Chu Kang Street 52),1.3947161,103.7447892,"1.3947161,103.7447892"
The Woodgrove (30 Woodlands Avenue 1),1.4291789,103.781079,"1.4291789,103.781079"
Food Hub (455 Sengkang West Avenue),1.3913936,103.8709559,"1.3913936,103.8709559"
Ntuc Fairprice (301 Yishun Avenue 2),1.429387,103.8350907,"1.429387,103.8350907"
Sheng Shiong Supermarket (108 Mcnair Road),1.321577,103.8595811,"1.321577,103.8595811"
Ntuc Fairprice (301 Yishun Avenue 2),1.429387,103.8350907,"1.429387,103.8350907"
Jurong Point (1 Jurong West Central 2),1.3397443,103.7067297,"1.3397443,103.7067297"
Changi City Point (5 Changi Business Park Central 1),1.3342732,103.9627387,"1.3342732,103.9627387"
Nex (23 Serangoon Central),1.3507723,103.8722585,"1.3507723,103.8722585"
Indobowl And Royz Et Vous (37 & 39 Sultan Gate),1.3014967,103.8606802,"1.3014967,103.8606802"
Bukit Timah Plaza (1 Jalan Anak Bukit),1.3388725,103.7787359,"1.3388725,103.7787359"
Mustafa Centre (145 Syed Alwi Road),1.309985,103.8554636,"1.309985,103.8554636"
Sunshine Plaza (475 Choa Chu Kang Avenue 3),1.3780564,103.7391785,"1.3780564,103.7391785"
Joo Chiat Complex (1 Joo Chiat Road),1.3156995,103.8989007,"1.3156995,103.8989007"
"Fu Nan Traditional Chinese Medicine Centre (152 Bukit 
 Batok Street 11)",1.3481749,103.7443107,"1.3481749,103.7443107"
Ntuc Fairprice (301 Yishun Avenue 2),1.429387,103.8350907,"1.429387,103.8350907"
Kinex (11 Tanjong Katong Road),1.3147221,103.8947554,"1.3147221,103.8947554"
Le Quest Mall (4 Bukit Batok Street 41),1.3557502,103.7412367,"1.3557502,103.7412367"
Westgate (3 Gateway Drive),1.3345013,103.7426077,"1.3345013,103.7426077"
The Woodgrove (30 Woodlands Avenue 1),1.4291789,103.781079,"1.4291789,103.781079"
Lemongrass (476 Upper Serangoon View),1.3773773,103.9037958,"1.3773773,103.9037958"
Lucky Plaza (304 Orchard Road),1.3045456,103.8339449,"1.3045456,103.8339449"
Sheng Siong Supermarket (202 Marsiling Drive),1.4431324,103.774971,"1.4431324,103.774971"
Ntuc Fairprice (1 Jalan Bukit Merah),1.2865434,103.8083586,"1.2865434,103.8083586"
West Mall (1 Bukit Batok Central Link),1.3500565,103.749223,"1.3500565,103.749223"
Ntuc Fairprice (1 Jalan Bukit Merah),1.2865434,103.8083586,"1.2865434,103.8083586"
Hafary Pte Ltd (560 Balestier Road),1.3269006,103.8446076,"1.3269006,103.8446076"
Hup Choon Eating House (1 Binjai Park),1.3358309,103.7864739,"1.3358309,103.7864739"
Quan Shui Wet Market (156 Bukit Batok Street 11),1.3482871,103.7437964,"1.3482871,103.7437964"
Jem (50 Jurong Gateway Road),1.3328303,103.7432656,"1.3328303,103.7432656"
Westgate (3 Gateway Drive),1.3345013,103.7426077,"1.3345013,103.7426077"
Posb Bukit Batok Branch (636 Bukit Batok Central),1.3495424,103.7517323,"1.3495424,103.7517323"
Keat Hong Shopping Centre (253 Choa Chu Kang Avenue 1),1.3774405,103.744394,"1.3774405,103.744394"
Le Quest Mall (4 Bukit Batok Street 41),1.3557502,103.7412367,"1.3557502,103.7412367"
Bukit Batok Golf Range (2 Bukit Batok West Avenue 7),1.3654919,103.7484767,"1.3654919,103.7484767"
Parkway Parade (80 Marine Parade Road),1.3013366,103.9052333,"1.3013366,103.9052333"
Plq Mall (10 Paya Lebar Road),1.3175284,103.8928037,"1.3175284,103.8928037"
Sri Murugan Hill Temple (931 Upper Bukit Timah Road),1.3770529,103.76156,"1.3770529,103.76156"
Punggol Plaza (168 Punggol Field),1.394228,103.913016,"1.394228,103.913016"
Westgate (3 Gateway Drive),1.3345013,103.7426077,"1.3345013,103.7426077"
Indobowl And Royz Et Vous (37 & 39 Sultan Gate),1.3014967,103.8606802,"1.3014967,103.8606802"
Yuhua Community Club (90 Boon Lay Way),1.3398721,103.7370971,"1.3398721,103.7370971"
Vivocity (1 Harbourfront Walk),1.264585545,103.8223037,"1.2645855448709473, 103.82230365697876"
Ntp+ (151 Lorong Chuan),1.3526598,103.8598608,"1.3526598,103.8598608"
Al Forno (East Coast) Pte Ltd (400 East Coast Road),1.3087787,103.9119446,"1.3087787,103.9119446"
Vivocity (1 Harbourfront Walk),1.264585545,103.8223037,"1.2645855448709473, 103.82230365697876"
Da Jin Factory Building (362 Upper Paya Lebar Road),1.347933,103.880843,"1.347933,103.880843"
Resorts World Sentosa Casino (8 Sentosa Gateway),1.25648,103.8203764,"1.25648,103.8203764"
Prime Supermarket (373 Bukit Batok Street 31),1.359016,103.7504996,"1.359016,103.7504996"
Prime Supermarket (373 Bukit Batok Street 31),1.359016,103.7504996,"1.359016,103.7504996"
Punggol Plaza (168 Punggol Field),1.394228,103.913016,"1.394228,103.913016"
Poke Theory (238 Thomson Road),1.3193941,103.8441256,"1.3193941,103.8441256"
Westgate (3 Gateway Drive),1.3345013,103.7426077,"1.3345013,103.7426077"
Chinatown Point (133 New Bridge Road),1.2852093,103.8447228,"1.2852093,103.8447228"
Rains Foot Massage (6 Hougang Avenue 3),1.3623283,103.8937083,"1.3623283,103.8937083"
Kaki Bukit Recreation Centre (7 Kaki Bukit Avenue 3),1.33753,103.9059665,"1.33753,103.9059665"
Ion Orchard (2 Orchard Turn),1.3039288,103.8319512,"1.3039288,103.8319512"
Westgate (3 Westgate Drive),35.9660248,-78.962409,"35.9660248,-78.962409"
Punggol Plaza (168 Punggol Field),1.394228,103.913016,"1.394228,103.913016"
Health Management Centre (809 French Road),1.3084036,103.8622518,"1.3084036,103.8622518"
Holland Piazza (3 Lorong Liput),1.3106827,103.7952282,"1.3106827,103.7952282"
Resorts World Sentosa Casino (8 Sentosa Gateway),1.25648,103.8203764,"1.25648,103.8203764"
Causeway Point (1 Woodlands Square),1.4360933,103.7859471,"1.4360933,103.7859471"
Ntuc Fairprice (301 Yishun Avenue 2),1.429387,103.8350907,"1.429387,103.8350907"
Westgate (3 Gateway Drive),1.3345013,103.7426077,"1.3345013,103.7426077"
Woodlands Regional Library (900 South Woodlands Drive),1.4349053,103.78678,"1.4349053,103.78678"
Woodlands Civic Centre (900 South Woodlands Drive),1.4349053,103.78678,"1.4349053,103.78678"
Westgate (3 Gateway Drive),1.3345013,103.7426077,"1.3345013,103.7426077"
Ntuc Fairprice (301 Yishun Avenue 2),1.429387,103.8350907,"1.429387,103.8350907"
Causeway Point (1 Woodlands Square),1.4360933,103.7859471,"1.4360933,103.7859471"
Plq Mall (10 Paya Lebar Road),1.3175284,103.8928037,"1.3175284,103.8928037"
White Sands (1 Pasir Ris Central Street 3),1.3724166,103.9496584,"1.3724166,103.9496584"
Geylang Serai Malay Market And Food Centre (1 Geylang Serai),1.3167284,103.8982767,"1.3167284,103.8982767"
Westgate (3 Westgate Drive),35.9660248,-78.962409,"35.9660248,-78.962409"
Giant @ Imm (2 Jurong East Street 21),1.3341687,103.7469963,"1.3341687,103.7469963"
Westgate (3 Gateway Drive),1.3345013,103.7426077,"1.3345013,103.7426077"
Madam Fang Hairdressing & Beauty Saloon (1989) (510 Bedok North Street 3),1.3321642,103.9304717,"1.3321642,103.9304717"
Sun Plaza (30 Sembawang Drive),1.4482678,103.8196887,"1.4482678,103.8196887"
Kfc (35 Jalan Mas Puteh),1.3083756,103.7623193,"1.3083756,103.7623193"
Westgate (3 Westgate Drive),35.9660248,-78.962409,"35.9660248,-78.962409"
Masjid Jamae (Chulia) (218 South Bridge Road),1.2832261,103.8454284,"1.2832261,103.8454284"
Hair Label Salon (57A New Upper Changi Road),1.323705,103.941309,"1.323705,103.941309"
Jurong Regional Library (21 Jurong East Central 1),1.3329175,103.7394999,"1.3329175,103.7394999"
West Mall (1 Bukit Batok Central Link),1.3500565,103.749223,"1.3500565,103.749223"
Tiong Bahru Plaza (302 Tiong Bahru Road),1.2865081,103.8277527,"1.2865081,103.8277527"
Jurong Point (1 Jurong West Central 2),1.3397443,103.7067297,"1.3397443,103.7067297"
Viva Business Park (750A Chai Chee Road),1.3233077,103.9216954,"1.3233077,103.9216954"
Westgate (3 Gateway Drive),1.3345013,103.7426077,"1.3345013,103.7426077"
Golden Landmark Shopping Centre (390 Victoria Street),1.3019631,103.8577905,"1.3019631,103.8577905"
Kong Meng San Phor Kark See Monastery (88 Bright Hill Road),1.3615171,103.8358116,"1.3615171,103.8358116"
Causeway Point (1 Woodlands Square),1.4360933,103.7859471,"1.4360933,103.7859471"
Sim Lim Square (1 Rochor Canal Road),1.3030433,103.8529208,"1.3030433,103.8529208"
Prime Supermarket (823 Tampines Street 81),1.3489326,103.9340708,"1.3489326,103.9340708"
Tripleone Somerset (111 Somerset Road),1.3001685,103.8372952,"1.3001685,103.8372952"
Chinatown Point (133 New Bridge Road),1.2852093,103.8447228,"1.2852093,103.8447228"
Great World City (1 Kim Seng Promenade),1.2936417,103.8319293,"1.2936417,103.8319293"
Ntuc Fairprice (570B Woodlands Avenue 1),1.4307426,103.7907913,"1.4307426,103.7907913"
Sheng Siong Supermarket (52 Chin Swee Road),1.286971,103.8417616,"1.286971,103.8417616"
Sheng Siong Supermarket (154A Bukit Batok West Avenue 8),1.3474063,103.7436727,"1.3474063,103.7436727"
Mustafa Centre (145 Syed Alwi Road),1.309985,103.8554636,"1.309985,103.8554636"
Lucky Plaza (304 Orchard Road),1.3045456,103.8339449,"1.3045456,103.8339449"
Sun Plaza (30 Sembawang Drive),1.4482678,103.8196887,"1.4482678,103.8196887"
Snip Avenue (156 Bukit Batok Street 11),1.3481111,103.743935,"1.3481111,103.743935"
Sheng Siong Supermarket (4 Toa Payoh Lorong 7),1.3390352,103.8552699,"1.3390352,103.8552699"
Toa Payoh East Community Club (160 Toa Payoh Lorong 6),1.3362303,103.8546523,"1.3362303,103.8546523"
Cash Converters (710A Ang Mo Kio Avenue 8),1.370681,103.848076,"1.370681,103.848076"
Boon Lay Shopping Centre (221 Boon Lay Place),1.3468433,103.7125345,"1.3468433,103.7125345"
Giant Supermarket (376 Bukit Batok Street 31),1.3586553,103.7492748,"1.3586553,103.7492748"
Lucky Plaza (304 Orchard Road),1.3045456,103.8339449,"1.3045456,103.8339449"
Kfc (35 Jalan Mas Puteh),1.3083756,103.7623193,"1.3083756,103.7623193"
Toa Payoh Central (520 Lorong 6 Toa Payoh),1.3331711,103.8474717,"1.3331711,103.8474717"
Bbq Box @ Bukit Timah (22 Cheong Chin Nam Road),1.3436444,103.7750691,"1.3436444,103.7750691"
Sheng Siong Supermarket (4 Toa Payoh Lorong 7),1.3390352,103.8552699,"1.3390352,103.8552699"
Safra Yishun (60 Yishun Avenue 4),1.4242354,103.8409184,"1.4242354,103.8409184"
The Carving Board (252 Jurong East Street 24),1.3436545,103.7381995,"1.3436545,103.7381995"
Ntuc Fairprice (345 Jurong East Street 31),1.3455573,103.7309458,"1.3455573,103.7309458"
Canberra Plaza (133 Canberra View),1.443306,103.8305883,"1.443306,103.8305883"
Sun Plaza (30 Sembawang Drive),1.4482678,103.8196887,"1.4482678,103.8196887"
Tiong Bahru Plaza (298 Tiong Bahru Road),1.2864244,103.827346,"1.2864244,103.827346"
Mustafa Centre (145 Syed Alwi Road),1.309985,103.8554636,"1.309985,103.8554636"
Westgate (3 Gateway Drive),1.3345013,103.7426077,"1.3345013,103.7426077"
Rivervale Plaza (118 Rivervale Drive),1.385387,103.9018653,"1.385387,103.9018653"
The Punggol Settlement (500 New Punggol Road),1.4205674,103.9121339,"1.4205674,103.9121339"
Changi City Point (5 Changi Business Park Central 1),1.3342732,103.9627387,"1.3342732,103.9627387"
Mandai Crematorium And Columbarium Complex (300 Mandai Road),1.413775,103.809682,"1.413775,103.809682"
Tiong Bahru Plaza (298 Tiong Bahru Road),1.2864244,103.827346,"1.2864244,103.827346"
Coronation Shopping Plaza (587 Bukit Timah Road),1.3239058,103.8099918,"1.3239058,103.8099918"
Bukit Panjang Plaza (1 Jelebu Road),1.3800396,103.7642339,"1.3800396,103.7642339"
Mcdonald'S (311 Upper Changi Road),1.3243389,103.9293448,"1.3243389,103.9293448"
Causeway Point (1 Woodlands Square),1.4360933,103.7859471,"1.4360933,103.7859471"
Broadway Coffeeshop (155 Bukit Batok Street 11),1.3479646,103.7434792,"1.3479646,103.7434792"
Changi Airport Terminal 1 (80 Airport Boulevard),1.3620259,103.9901397,"1.3620259,103.9901397"
Jinwei Hai Xian (280 Bishan Street 24),1.3567824,103.8444165,"1.3567824,103.8444165"
Ywca Fort Canning (6 Fort Canning Road),1.2976169,103.8448661,"1.2976169,103.8448661"
Raffles Holland V Mall (118 Holland Avenue),1.3105584,103.7961823,"1.3105584,103.7961823"
Causeway Point (1 Woodlands Square),1.4360933,103.7859471,"1.4360933,103.7859471"
Far East Plaza (14 Scotts Road),1.3075525,103.8336867,"1.3075525,103.8336867"
Jurong Point (1 Jurong West Central 2),1.3397443,103.7067297,"1.3397443,103.7067297"
313@Somerset (313 Orchard Road),1.300898,103.838361,"1.300898,103.838361"
Kfc (35 Jalan Mas Puteh),1.3083756,103.7623193,"1.3083756,103.7623193"
Woodlands Civic Centre (900 South Woodlands Drive),1.4349053,103.78678,"1.4349053,103.78678"
The Punggol Settlement (500 New Punggol Road),1.4205674,103.9121339,"1.4205674,103.9121339"
Arya Samaj Building (114 Syed Alwi Road),1.3101102,103.8551174,"1.3101102,103.8551174"
Ntuc Fairprice (279 Bishan Street 24),1.3572502,103.8438389,"1.3572502,103.8438389"
Woodlands Civic Centre (900 South Woodlands Drive),1.4349053,103.78678,"1.4349053,103.78678"
Changi City Point (5 Changi Business Park Central 1),1.3342732,103.9627387,"1.3342732,103.9627387"
Phoon Huat (107 Lorong 1 Toa Payoh),1.3411931,103.8469795,"1.3411931,103.8469795"
Chang Cheng Hq (27 Woodlands Link),1.452496,103.810849,"1.452496,103.810849"
Ion Orchard (2 Orchard Turn),1.3039288,103.8319512,"1.3039288,103.8319512"
Lao Si Chuan Dou Hua Zhuang (46 Temple Street),1.2832912,103.8437704,"1.2832912,103.8437704"
Far East Plaza (14 Scotts Road),1.3075525,103.8336867,"1.3075525,103.8336867"
Jurong Point (1 Jurong West Central 2),1.3397443,103.7067297,"1.3397443,103.7067297"
Jurong Point (1 Jurong West Central 2),1.3397443,103.7067297,"1.3397443,103.7067297"
Ghim Moh Market And Food Centre (20 Ghim Moh Road),1.3109708,103.7883085,"1.3109708,103.7883085"
Hola Cafeteria (248 Simei Street 5),1.3438779,103.9541267,"1.3438779,103.9541267"
7-Eleven Resorts World Station (32 Sentosa Gateway),1.2561612,103.8211484,"1.2561612,103.8211484"
Marsiling Mall (4 Woodlands Street 12),1.4334272,103.7797206,"1.4334272,103.7797206"
United Square Shopping Mall (101 Thomson Road),1.3171849,103.8436045,"1.3171849,103.8436045"
Westgate (3 Gateway Drive),1.3345013,103.7426077,"1.3345013,103.7426077"
Paragon (290 Orchard Road),1.3039633,103.8360565,"1.3039633,103.8360565"
The Shoppes At Marina Bay Sands (10 Bayfront Avenue),1.2842759,103.8600338,"1.2842759,103.8600338"
Safra Toa Payoh (293 Lorong 6 Toa Payoh),1.3302736,103.8546716,"1.3302736,103.8546716"
Masjid Al-Muttaqin (5140 Ang Mo Kio Avenue 6),1.370394,103.8459946,"1.370394,103.8459946"
Sheng Siong Supermarket (52 Chin Swee Road),1.286971,103.8417616,"1.286971,103.8417616"
Superluck Food Court (440 Bukit Batok West Avenue 8),1.3558543,103.739564,"1.3558543,103.739564"
Jem (50 Jurong Gateway Road),1.3328303,103.7432656,"1.3328303,103.7432656"
United Square Shopping Mall(101 Thomson Road),1.3171849,103.8436045,"1.3171849,103.8436045"
Marsiling Community Club (100 Admiralty Road),1.4408809,103.7737328,"1.4408809,103.7737328"
Jem (50 Jurong Gateway Road),1.3328303,103.7432656,"1.3328303,103.7432656"
D’Arena Country Club (511 Upper Jurong Road),1.3294914,103.6829236,"1.3294914,103.6829236"
Paya Lebar Square (60 Paya Lebar Road),1.3187949,103.8927472,"1.3187949,103.8927472"
Westgate (3 Gateway Drive),1.3345013,103.7426077,"1.3345013,103.7426077"
Sheng Siong Supermarket (440 Bukit Batok West Avenue 8),1.3556661,103.7392906,"1.3556661,103.7392906"
Wanyoo Cybercafe (Beauty World) (2 Cheong Chin Nam Road),1.3423962,103.7753434,"1.3423962,103.7753434"
West Mall (1 Bukit Batok Central Link),1.3500565,103.749223,"1.3500565,103.749223"
Junction 10 (1 Woodlands Road),1.3803079,103.7601697,"1.3803079,103.7601697"
Jurong Point (1 Jurong West Central 2),1.3397443,103.7067297,"1.3397443,103.7067297"
Marina Bay Sands Casino (10 Bayfront Avenue),1.2814374,103.8589788,"1.2814374,103.8589788"
Marina Bay Sands Casino (10 Bayfront Avenue),1.2814374,103.8589788,"1.2814374,103.8589788"
Toa Payoh Mall (177 Toa Payoh Central),1.3338996,103.8498394,"1.3338996,103.8498394"
S-11 Taman Jurong Food House (101 Yung Sheng Road),1.3344444,103.7222222,"1.3344444,103.7222222"
Toast & Curry (43 Siloso Beach Walk),1.2520323,103.8177001,"1.2520323,103.8177001"
Coronation Shopping Plaza (587 Bukit Timah Road),1.3239058,103.8099918,"1.3239058,103.8099918"
Shunfu Mart Food Centre (320 Shunfu Road),1.352052,103.8370283,"1.352052,103.8370283"
Bbq Box @ Bukit Timah (22 Cheong Chin Nam Road),1.3436444,103.7750691,"1.3436444,103.7750691"
Marsiling Mrt Station (71 Woodlands Avenue 3),1.4323902,103.7741183,"1.4323902,103.7741183"
Fairprice Hub (1 Joo Koon Circle),1.3262422,103.6783524,"1.3262422,103.6783524"
Jem (50 Jurong Gateway Road),1.3328303,103.7432656,"1.3328303,103.7432656"
West Mall (1 Bukit Batok Central Link),1.3500565,103.749223,"1.3500565,103.749223"
Singapore Polytechnic (500 Dover Road),1.3097757,103.7775495,"1.3097757,103.7775495"
Sengkang Sports Complex (57 Anchorvale Road),1.3964799,103.8868403,"1.3964799,103.8868403"
Rochor Beancurd House (745 Geylang Road),1.3149236,103.8906549,"1.3149236,103.8906549"
Ntuc Fairprice (345 Jurong East Street 31),1.3455573,103.7309458,"1.3455573,103.7309458"
Kimly Coffeeshop (444 Pasir Ris Drive 6),1.3700016,103.9574202,"1.3700016,103.9574202"
Burger King (11 Bedok North Street 1),1.3271175,103.9322493,"1.3271175,103.9322493"
Westgate (3 Gateway Drive),1.3345013,103.7426077,"1.3345013,103.7426077"
Hdb Hub (480 Lorong 6 Toa Payoh),1.3323583,103.8479611,"1.3323583,103.8479611"
Peninsula Plaza (111 North Bridge Road),1.2923407,103.8508826,"1.2923407,103.8508826"
Bukit Batok Blk 371 Coffeeshop (371 Bukit Batok Street 31),1.3595952,103.7507932,"1.3595952,103.7507932"
Thomson Plaza (301 Upper Thomson Road),1.3548,103.8308,"1.3548,103.8308"
Chong Yee Temple (72 Sengkang West Avenue),1.3918114,103.8722164,"1.3918114,103.8722164"
Woods Square (6 Woodlands Square),1.4347621,103.7857558,"1.4347621,103.7857558"
Sheng Siong Supermarket (4 Toa Payoh Lorong 7),1.3390352,103.8552699,"1.3390352,103.8552699"
Marina Bay Sands Casino (10 Bayfront Avenue),1.2814374,103.8589788,"1.2814374,103.8589788"
Thomson Plaza (301 Upper Thomson Road),1.3548,103.8308,"1.3548,103.8308"
Jem (50 Jurong Gateway Road),1.3328303,103.7432656,"1.3328303,103.7432656"
Sun Plaza (30 Sembawang Drive),1.4482678,103.8196887,"1.4482678,103.8196887"
Westgate (3 Gateway Drive),1.3345013,103.7426077,"1.3345013,103.7426077"
The Shoppes At Marina Bay Sands (10 Bayfront Avenue),1.2842759,103.8600338,"1.2842759,103.8600338"
Sheng Shiong Supermarket (440 Bukit Batok West Avenue 8),1.3556661,103.7392906,"1.3556661,103.7392906"
The Seletar Mall (33 Sengkang West Avenue),1.3915208,103.8760834,"1.3915208,103.8760834"
Sheng Siong Supermarket (440 Bukit Batok West Avenue 8),1.3556661,103.7392906,"1.3556661,103.7392906"
Shu Vegetarian (259 Jalan Kayu),1.3968574,103.8729536,"1.3968574,103.8729536"
Jem (50 Jurong Gateway Road),1.3328303,103.7432656,"1.3328303,103.7432656"
Wood Square (6 Woodlands Square),1.4347621,103.7857558,"1.4347621,103.7857558"
Marina Bay Sands (10 Bayfront Avenue),1.2846547,103.8609937,"1.2846547,103.8609937"
Our Tampines Hub (1 Tampines Walk),1.3536067,103.9403839,"1.3536067,103.9403839"
Millenia Walk (9 Raffles Boulevard),1.2928181,103.8598344,"1.2928181,103.8598344"
Westgate (3 Gateway Drive),1.3345013,103.7426077,"1.3345013,103.7426077"
Ntuc Fairprice (152B Serangoon North Avenue 1),1.3697675,103.8729811,"1.3697675,103.8729811"
Jem (50 Jurong Gateway Road),1.3328303,103.7432656,"1.3328303,103.7432656"
Toast & Curry (43 Siloso Beach Walk),1.2520323,103.8177001,"1.2520323,103.8177001"
Causeway Point (1 Woodlands Square),1.4360933,103.7859471,"1.4360933,103.7859471"
Suntec City (3 Temasek Boulevard),1.29503,103.8583026,"1.29503,103.8583026"
U Stars Supermarket (829 Tampines Street 81),1.3492574,103.9348375,"1.3492574,103.9348375"
Causeway Point (1 Woodlands Square),1.4360933,103.7859471,"1.4360933,103.7859471"
Ion Orchard (2 Orchard Turn),1.3039288,103.8319512,"1.3039288,103.8319512"
Jem (50 Jurong Gateway Road),1.3328303,103.7432656,"1.3328303,103.7432656"
Suntec City (3 Temasek Boulevard),1.29503,103.8583026,"1.29503,103.8583026"
G7 Sin Ma Live Bull Frog Claypot Porridge (5 Cheong Chin Nam Road),1.3425231,103.7751436,"1.3425231,103.7751436"
Bukit Timah Plaza (1 Jalan Anak Bukit),1.3388725,103.7787359,"1.3388725,103.7787359"
United Square Shopping Mall (101 Thomson Road),1.3171849,103.8436045,"1.3171849,103.8436045"
Jem (50 Jurong Gateway Road),1.3328303,103.7432656,"1.3328303,103.7432656"
Selera Restaurant (15 Mackenzie Road),1.3044114,103.8497975,"1.3044114,103.8497975"
Eunos Food Station (2A Eunos Crescent),1.3201017,103.9029103,"1.3201017,103.9029103"
Jem (50 Jurong Gateway Road),1.3328303,103.7432656,"1.3328303,103.7432656"
Toast & Curry (43 Siloso Beach Walk),1.2520323,103.8177001,"1.2520323,103.8177001"
Kimly Coffeeshop (444 Pasir Ris Drive 6),1.3700016,103.9574202,"1.3700016,103.9574202"
Westgate (3 Gateway Drive),1.3345013,103.7426077,"1.3345013,103.7426077"
Sheng Siong Supermarket (440 Bukit Batok West Avenue 8),1.3556661,103.7392906,"1.3556661,103.7392906"
Hillion Mall (17 Petir Road),1.3784819,103.7632117,"1.3784819,103.7632117"
Funan (107 North Bridge Road),1.2912647,103.8501932,"1.2912647,103.8501932"
Changi City Point (5 Changi Business Park Central 1),1.3342732,103.9627387,"1.3342732,103.9627387"
Giant (376 Bukit Batok Street 31),1.3586553,103.7492748,"1.3586553,103.7492748"
Market Square @ Downtown East (1 Pasir Ris Close),1.3770753,103.9548667,"1.3770753,103.9548667"
Wanyoo Cybercafe (Beauty World) (2 Cheong Chin Nam Road),1.3423962,103.7753434,"1.3423962,103.7753434"
Keat Hong Community Club (2 Choa Chu Kang Loop),1.3841408,103.7449887,"1.3841408,103.7449887"
Old Airport Road Food Centre & Shopping Mall (51 Old Airport Road),1.3082405,103.8858445,"1.3082405,103.8858445"
The Shoppes At Marina Bay Sands (10 Bayfront Avenue),1.2842759,103.8600338,"1.2842759,103.8600338"
Singapore Polytechnic (500 Dover Road),1.3097757,103.7775495,"1.3097757,103.7775495"
Toa Payoh Hdb Hub (500 Lorong 6 Toa Payoh),1.3323583,103.8479611,"1.3323583,103.8479611"
Kk Women’S And Children’S Hospital (100 Bukit Timah Road),1.3105564,103.8468048,"1.3105564,103.8468048"
Le Quest Shopping Mall (4 Bukit Batok Street 41),1.3557502,103.7412367,"1.3557502,103.7412367"
